system   D            wsystem.c:583  maybe_parent_dir                 [   0.00095] Also searching C:\Users\Wiktor\documents\visual studio 2010\Projects\MLP\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00146] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00151] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.01531] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:893  _al_d3d_init_display             [   0.14787] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.14791] Allegro version: 5.0.7
d3d      I         d3d_disp.cpp:1921 d3d_create_display_locked        [   0.14934] faux_fullscreen=0
display  D   display_settings.c:191  debug_display_settings           [   0.17256] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17259] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17261] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17262] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17263] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17264] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17265] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17267] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17268] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17269] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17270] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17271] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.17272] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17274] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.17275] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17276] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.17277] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17278] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.17279] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17281] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.17282] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
